,Player,Age,PTS
17675,Carmelo Anthony,21.0,2122.0
17677,Gilbert Arenas,24.0,2346.0
17742,Kobe Bryant,27.0,2832.0
17904,Allen Iverson*,30.0,2377.0
17918,LeBron James,21.0,2478.0
18028,Dirk Nowitzki,27.0,2151.0
18059,Paul Pierce,28.0,2116.0
18080,Michael Redd,26.0,2028.0
18176,Dwyane Wade,24.0,2040.0
18241,Gilbert Arenas,25.0,2105.0
18295,Kobe Bryant,28.0,2430.0
18308,Vince Carter,30.0,2070.0
18460,LeBron James,22.0,2132.0
18825,Kobe Bryant,29.0,2323.0
19007,Allen Iverson*,32.0,2164.0
19017,LeBron James,23.0,2250.0
19428,Kobe Bryant,30.0,2201.0
19611,LeBron James,24.0,2304.0
19734,Dirk Nowitzki,30.0,2094.0
19877,Dwyane Wade,27.0,2386.0
20071,Kevin Durant,21.0,2472.0
20207,LeBron James,25.0,2258.0
20329,Dirk Nowitzki,31.0,2027.0
20458,Dwyane Wade,28.0,2045.0
20600,Kobe Bryant,32.0,2078.0
20684,Kevin Durant,22.0,2161.0
20812,LeBron James,26.0,2111.0
20991,Derrick Rose,22.0,2026.0
21757,Kobe Bryant,34.0,2133.0
21827,Kevin Durant,24.0,2280.0
21886,James Harden,23.0,2023.0
21933,LeBron James,28.0,2036.0
22278,Carmelo Anthony,29.0,2112.0
22438,Kevin Durant,25.0,2593.0
22548,LeBron James,29.0,2089.0
22606,Kevin Love,25.0,2010.0
23114,James Harden,25.0,2217.0
23633,Stephen Curry,27.0,2375.0
23654,Kevin Durant,27.0,2029.0
23722,James Harden,26.0,2376.0
24218,Anthony Davis,23.0,2099.0
24226,DeMar DeRozan,27.0,2020.0
24306,James Harden,27.0,2356.0
24421,Damian Lillard,26.0,2024.0
24612,Isaiah Thomas,27.0,2199.0
24625,Karl-Anthony Towns,21.0,2061.0
24654,Russell Westbrook,28.0,2558.0
